alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-1.125000,10.000000,0.300000,-0.672217,0.000000,1.000000
-1.375000,100.000000,0.450000,-0.180818,0.000000,1.000000
-1.375000,100.000000,0.750000,-0.048984,0.000000,1.000000
-1.375000,100.000000,0.550000,-0.118662,0.000000,1.000000
-1.375000,100.000000,0.700000,-0.061718,0.000000,1.000000
-1.375000,100.000000,0.350000,-0.300839,0.000000,1.000000
-1.375000,100.000000,0.800000,-0.029945,0.000000,1.000000
-1.125000,10.000000,0.500000,-0.578228,0.000000,1.000000
-1.375000,100.000000,0.900000,-0.033386,0.000000,1.000000
-1.125000,10.000000,0.550000,-0.583070,0.000000,1.000000
-1.375000,100.000000,0.400000,-0.245418,0.000000,1.000000
-1.375000,100.000000,0.600000,-0.112816,0.000000,1.000000
-1.125000,10.000000,0.400000,-0.642372,0.000000,1.000000
-1.375000,100.000000,0.850000,-0.024723,0.000000,1.000000
-1.125000,10.000000,0.750000,-0.495487,0.000000,1.000000
-1.375000,100.000000,1.000000,-0.021222,0.000000,1.000000
-1.125000,10.000000,0.850000,-0.430510,0.000000,1.000000
