alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.125000,50.000000,-0.050000,nan,0.000000,5.000000
-1.125000,50.000000,-0.040000,nan,0.000000,5.000000
-1.125000,10.000000,-0.030000,-0.492433,0.000000,1.000000
-1.125000,10.000000,0.030000,-0.798804,0.000000,1.000000
-1.125000,50.000000,-0.070000,nan,0.000000,5.000000
-1.125000,50.000000,-0.020000,nan,0.000000,5.000000
-1.375000,100.000000,0.000000,-0.626658,0.000000,1.000000
-1.125000,10.000000,0.040000,-0.822509,0.000000,1.000000
-1.125000,10.000000,-0.010000,-0.651554,0.000000,1.000000
-1.375000,100.000000,0.040000,-1.596642,0.000000,1.000000
-1.375000,100.000000,0.050000,-1.758664,0.000000,1.000000
-1.125000,10.000000,0.010000,-0.744840,0.000000,1.000000
-1.125000,10.000000,0.000000,-0.713858,0.000000,1.000000
-1.125000,10.000000,0.020000,-0.772919,0.000000,1.000000
-1.125000,10.000000,0.070000,-0.890754,0.000000,1.000000
-1.125000,10.000000,0.050000,-0.845902,0.000000,1.000000
-1.375000,100.000000,0.080000,-2.170501,0.000000,1.000000
-1.125000,10.000000,0.060000,-0.867880,0.000000,1.000000
-1.125000,10.000000,0.080000,-0.909093,0.000000,1.000000
-1.375000,100.000000,0.030000,-1.422698,0.000000,1.000000
-1.125000,10.000000,0.090000,-0.929490,0.000000,1.000000
-1.125000,10.000000,0.100000,-0.949058,0.000000,1.000000
-1.375000,100.000000,0.070000,-2.043094,0.000000,1.000000
-1.125000,25.000000,-0.010000,-0.522356,0.000000,1.000000
-1.375000,100.000000,0.010000,-0.974145,0.000000,1.000000
-1.125000,25.000000,0.000000,-0.709492,0.000000,1.000000
-1.125000,25.000000,0.010000,-0.793741,0.000000,1.000000
-1.125000,100.000000,-0.100000,nan,0.000000,5.000000
-1.125000,25.000000,0.030000,-0.918841,0.000000,1.000000
-1.375000,100.000000,0.060000,-1.905883,0.000000,1.000000
-1.125000,25.000000,-0.020000,-0.180801,0.000000,1.000000
-1.375000,100.000000,0.020000,-1.220293,0.000000,1.000000
-1.125000,25.000000,0.050000,-1.026833,0.000000,1.000000
-1.125000,100.000000,-0.090000,nan,0.000000,5.000000
-1.375000,100.000000,0.090000,-2.297164,0.000000,1.000000
-1.375000,100.000000,0.100000,-2.416297,0.000000,1.000000
-1.125000,25.000000,0.070000,-1.120108,0.000000,1.000000
-1.125000,25.000000,0.100000,-1.240481,0.000000,1.000000
-1.125000,25.000000,0.020000,-0.856565,0.000000,1.000000
-1.125000,100.000000,-0.080000,nan,0.000000,5.000000
-1.125000,25.000000,0.040000,-0.975169,0.000000,1.000000
-1.125000,25.000000,0.080000,-1.162172,0.000000,1.000000
-1.125000,25.000000,0.060000,-1.075462,0.000000,1.000000
-1.125000,25.000000,0.090000,-1.203686,0.000000,1.000000
-1.125000,100.000000,-0.070000,nan,0.000000,5.000000
-1.125000,100.000000,-0.030000,nan,0.000000,5.000000
-1.125000,100.000000,-0.020000,nan,0.000000,5.000000
-0.875000,10.000000,-0.090000,nan,0.000000,5.000000
-1.125000,100.000000,-0.060000,nan,0.000000,5.000000
-0.875000,10.000000,-0.080000,nan,0.000000,5.000000
-0.875000,10.000000,-0.100000,nan,0.000000,5.000000
-1.125000,100.000000,-0.050000,nan,0.000000,5.000000
-1.125000,50.000000,-0.010000,-0.159093,0.000000,1.000000
-1.125000,100.000000,-0.040000,nan,0.000000,5.000000
